Name,Rating,Rating Count,Address,Verified
"Weather Cool Engineers in Naupada-thane West, Mumbai",4.3,608,"Shop No 103 , 1st Floor , Anant Laxmi Charnbers Co-Op Housing Society, Naupada, Naupada-thane West, Thane - 400602",Verified
"Aarvi Aircool Services in Thane West, Mumbai",4.9,5,"Kothimire House, Balkum Pada No 2, Thane West, Thane - 400608, Om Sai Chowk",Not Verified
"Cool Climate in Thane West, Mumbai",3.5,2,"Shop No.03 , Runwal Tower, Runwal Nagar, Thane West, Thane - 400601, Opp Viviana Mall",Not Verified
"Asian Aircon INDIA in Kopri Colony-Thane East, Mumbai",4.7,21,"44 A Sainath Nagar, Deshmukh Wadi, Kopri Colony-Thane East, Thane - 400603, Behind Anand Tokies",Verified
"Singh Enterprises in Kalher, Mumbai",1.9,9,"Shop No. 14, Deeplaxmi Residency, Bhiwandi Road, Kalher, Bhiwandi - 421302, Opposite Ramdev Hotel",Not Verified
"Cool Breeze in Airoli, Mumbai",3.5,2,"Sharadha Suman Appartment Shop No.10, Sector 20, Airoli, Navi Mumbai - 400708, Next to Sanjha Chulla Hotel",Not Verified
"I Cool Services in Bhandup West, Mumbai",5.0,2,"Plot No 14Opposite Asian Paints, Shop No-1 Revati Apratment, L B S Road, Bhandup West, Bhandup West, Mumbai - 400078",Not Verified
"Gurudev Services in Tagore Nagar-vikhroli East, Mumbai",4.9,11,"Shop No 150, Opp Axis Bank ATM, Tagore Nagar-vikhroli East, Mumbai - 400083, Near Shri Prakash",Not Verified
"Ideal Cooling Point in Kandivali East, Mumbai",4.5,154,"Room No 6, Markhande Singh Society, Gaondevi Road, Kandivali East, Mumbai - 400101, Near Thakur Polytechnic College",Not Verified
"Call My Engineer (Home Appliances Repair Services) in Dombivli East, Mumbai",4.3,64,"Shop No. 5 Tulsi Vaibhav Society, Nandivali Road, Dombivli East, Thane - 421201, Near Ashok Vatika Society",Not Verified
"SHIVRAJ ENTERPRISES in PALAVA CITY, Mumbai",5.0,4,"Shop No 25 Chandesh Niketan Lodha Haven, Nilje, PALAVA CITY, Thane - 421204, Near C. Shiva Ji Maharaj Chowk",Not Verified
"Mantra Enterprises in Thakurli, Mumbai",3.7,3,"Shop No.22,Sairaj Park, 90 Feet Road, Thakurli, Thane - 421201, Near DNS Bank",Not Verified
"Fridge Cool Sevices in Borivali East, Mumbai",4.1,68,"1/B/106, Vitthal Nagar Building, Borivali East, Mumbai - 400066, Devpada, Near Vitthal Mandir",Verified
"NF AIRCONDITIONER in Dombivli East, Mumbai",3.5,2,"Gala No-3 ,pimpleshawar Buss Stop ,Sagoan, Manpada Road, Dombivli East, Thane - 421201, Opp-Laxmi Hardware",Not Verified
"S S AIR Cool Engineering in Mumbra, Mumbai",4.3,75,"Shop No 6 Ground Floor Noor Complex, Khardi Road, Mumbra, Thane - 400612, Near New Modern English School",Not Verified
"Super Aircondition in Kandivali East, Mumbai",3.7,31,"Panvati CHS, Akurli Road, Kandivali East, Mumbai - 400101, Mahada Road No 2",Not Verified
"Summer Cool in Kopar Khairane, Mumbai",5.0,5,"Shop No 12,Manoshri Building, Kopar Khairane, Navi Mumbai - 400709, Near Faam Society",Not Verified
"Cool INDIA Enterprises in Goregaon East, Mumbai",4.9,29,"Devicha Pada Unit No 7, Gen AKV Marg, Goregaon East, Mumbai - 400065",Not Verified
"H S Engineering Works in Kandarpada-dahisar West, Mumbai",3.8,248,"Shop No 20,Kamla Vihar Building, New Link Road, Kandarpada-dahisar West, Mumbai - 400068, Near Link Road",Not Verified
"Ss Cool Services in Powai, Mumbai",3.6,15,"Shop No 5,Bhind Gateway Plaza Near Hiranadani Plaza, Hiranadani Garden, Powai, Mumbai - 400076, Near Hiranandani",Not Verified
"N C Service Center in Mira Road, Mumbai",4.5,35,"Shop No.4 Miral Apt Govind Nagar, Mira Bhayander Road, Mira Road, Thane - 401107, Nr Sai Petrol Pump",Verified
"Coolpack Hvac System in Sakinaka, Mumbai",4.3,32,"Unit No 01, Dhardham Compound, 90 Feet Road, Pensuila Hotel, Andheri East, Sakinaka, Mumbai - 400072, Pensuila Hotel",Not Verified
"Acrepairwala.com in Borivali West, Mumbai",4.0,7,"Room No 1, Dayanand Bhandari Chawl, Shimpoli Road, Borivali West, Mumbai - 400092, Near State Bank Of Hyderabad, Chikuwadi",Not Verified
"Perfect Electronics in Dombivli East, Mumbai",4.9,30,"Vishweshwar Darshan , Shop No. 3, Manpada Road, Dombivli East, Thane - 421201, Near Vijaya Bank",Not Verified
"Wefix Enterprises in Mira Road, Mumbai",4.9,176,"Mira Dham Complex, Mira Road, Thane - 401107, Behind Hanuman Mandir, Mira Gaon",Verified
"A.K Cooling System in Borivali West, Mumbai",5.0,3,"Shop No 10, Jupiter Building, Borivali West, Mumbai - 400092, Opp Joggers Park",Not Verified
"Shweta Electricals in Ghatkopar East, Mumbai",4.8,14,"Room No 2032, Vasantrao Naik Marg, Ghatkopar East, Mumbai - 400075, Opposite Durga Mata Mandir, Transist Camp, Ramabai Nagar",Not Verified
"S S Cooling System in Borivali West, Mumbai",3.9,95,"Shop No 7 ,, Link Road, Borivali West, Mumbai - 400092, Near Don Bosco School",Not Verified
"AIR Floor System in Goregaon West, Mumbai",3.4,124,"Z-153, Kranti Building, Link Road, Goregaon West, Mumbai - 400104, Opposite Goregaon Bus Depot, Bhagat Singh Nagar No 3",Not Verified
"Prime Enterprise in Mira Road, Mumbai",4.2,442,"Shop No 13, Ground Floor, A1 Building, Shanti Vihar Complex, Station Road, Mira Road, Thane - 401107, Near Railway Station",Verified
"Naaz AIR Condition in Andheri East, Mumbai",3.8,26,"Road No 12, Midc, Andheri East, Mumbai - 400093, Opp Safron Spice Hotel",Verified
"Tammana AIR Cool in Malad East, Mumbai",3.5,2,"Opposite Western Express Highway, Shop No 10mbewadi, Near Gaon Devi Temple, Pushpa Park, Malad East, Mumbai - 400097",Not Verified
"Perfect Cool Services in Malad West, Mumbai",4.4,177,"Shop No 5, Eklavya Building, Marve Road, Malad West, Mumbai - 400064, Near Orlem",Not Verified
"AIR Cool Services in Ghatkopar West, Mumbai",4.1,17,"LBS Road, Ghatkopar West, Mumbai - 400086, Near R City Mall",Not Verified
"Om SAI Refrigeration in Kandivali West, Mumbai",3.7,17,"Balaji Shopping Centre,Gala No 6,Blue Arch Bldg, Bandar Pakhadi Charkop, Kandivali West, Mumbai , Opp Gaurav Garden Small GATE,Ganesh Chowk Kandivali (West)",Not Verified
"Rudra Enterprise in Sakinaka, Mumbai",4.8,26,"Shop No 8, Dsouza Compound, Kherani Road, Sakinaka, Mumbai - 400072, Opposite S J Studio",Not Verified
"National Aircon in Jogeshwari West, Mumbai",4.0,1000,"Shop No 6, Gaondevi Co Operative Housing Society, Rehab Building No 1, New Link Road, Jogeshwari West, Mumbai - 400102, Opposite Dheeraj Gaurav Heights",Not Verified
"Solve Services in Jogeshwari West, Mumbai",3.7,45,"22, Gavdevi Chs, Building No 1, New Link Road,, Jogeshwari West, Mumbai - 400102, Opposite Dheeraj Gaurav Heights",Not Verified
"Om Refrigeration 2 in Kalyan West, Mumbai",4.5,23,"Chattri Bunglow Road, Kalyan West, Kalyan - 421301, Opp Sandeep Hotel",Not Verified
"AIR Cool Engineers in Malad West, Mumbai",4.5,204,"Shop No 2, Marve Raod, Malad West, Mumbai - 400095, Jankalyan Nagar",Not Verified
"AIR Cool Services in Ghatkopar East, Mumbai",4.7,5,"Satyam Shopping Centre, M G Road, Ghatkopar East, Mumbai - 400077",Not Verified
"National Aircondition in Jogeshwari West, Mumbai",4.3,1015,"Shop No 6, Jogeshwari Gavdevi Chs Ltd, Rehab Building 1, New Link Road, Jogeshwari West, Mumbai - 400102, Opposite Dheeraj Gaurav Height",Verified
"Delta Engineering in Jari Mari-sakinaka, Mumbai",3.9,129,"Room No 3, Salimuddin Chawl, K A Road, Jari Mari-sakinaka, Mumbai - 400072, Near Arbi Mohalla",Verified
"S S Cool Repairs & Services in Asalfa-ghatkopar West, Mumbai",3.0,12,"Himalaya Society, Asalfa-ghatkopar West, Mumbai - 400084, Near Asalfa Metro Station",Not Verified
"Quick Cool Services in Goregaon West, Mumbai",4.8,351,"Shop No 57, Link Road, Goregaon West, Mumbai - 400104, Bangur Nagar, Near Inorbit Mall",Verified
"Star Cool INDIA in Andheri West, Mumbai",4.7,415,"Shop No 16, Laxkariya Building, Veera Desai Road, Andheri West, Mumbai - 400058, Near Country Club",Verified
"Sharp Cool Services in Goregaon West, Mumbai",4.6,41,"Shop No 14, S V Road, Goregaon West, Mumbai - 400090, Near MTNL Office",Verified
"Noman Cool Services in Nerul, Mumbai",3.9,618,"Shop No 5, Plot No C, Satnam Niwas, Sector 20, Nerul, Navi Mumbai - 400706, Near Gaydevi Mandir",Not Verified
"Noman Cool in Taloja, Mumbai",4.4,144,"Shop No. 07, Green View Chs,, Sector 02, Plot No. 2 & 3,, Taloja, Navi Mumbai - 410208, Near Railway Station",Not Verified
"AIR Cool System in Chembur, Mumbai",4.4,33,"Behind Subhiksha Khandhriya Mansion, Chembur, Mumbai - 400071",Not Verified
"Mac Engineers in Andheri West, Mumbai",4.2,136,"Shop No D/5, Plot No 63, Yari Road, Andheri West, Mumbai - 400061, Near D Mart",Verified
"Bombay Cool in Vile Parle East, Mumbai",3.5,82,"Padris Wadi, Petker Road, Vile Parle East, Mumbai - 400057",Verified
"Quick Cool in Prabhat Colony-santacruz East, Mumbai",3.7,14,"Jaiswar House, Room No 60, Prabhat Colony-santacruz East, Mumbai - 400055, Near Seva Nagar",Not Verified
"Vijay Appliances in Bandra East, Mumbai",3.8,20,"Mitalal Neharu Nagar CHs, Building No 1 B K Complex, Bandra East, Mumbai - 400051",Not Verified
"Zip AIR Condition in Santacruz East, Mumbai",3.7,157,"House No 132, John Rodrigous Chawl, Santacruz East, Mumbai - 400029, P & T Colony, Kalina Village",Verified
"Paramount Aircondition in Juhu, Mumbai",4.5,75,"Shop No 1, Kapaswadi, Juhu Versova Link Road, Juhu, Mumbai - 400049, Near Juhu Circle",Verified
"Snow Sales & Services in Bandra West, Mumbai",4.1,131,"Shop No 7,God Gift Tower, M S Road Off S V Road, Bandra West, Mumbai - 400050, Opposite Lucky Hotel",Not Verified
"Cool One Click in Santacruz West, Mumbai",4.4,27,"13 Shree Building, S V Road, Santacruz West, Mumbai - 400054, Opposite Stranded Chartered Bank",Not Verified
"Alok Ac Repair & Electrical Work in Ulhasnagar No 3, Mumbai",4.9,24,"Shop No.1, Mattka Chowk, Ulhasnagar No 3, Thane - 421002, Opp Ordnus Gate",Not Verified
"Om Refrigeration in Ambernath, Mumbai",4.6,304,"Shop No. 1941, Datta Kuteer, B-Cabin Road, Ambernath, Thane - 421501, Opposite Bharat Gas",Not Verified
"Om Refrigeration in Ambernath, Mumbai",4.6,304,"Shop No. 1941, Datta Kuteer, B-Cabin Road, Ambernath, Thane - 421501, Opposite Bharat Gas",Not Verified
"Om Refrigeration in Ambernath, Mumbai",4.6,304,"Shop No 1941, Datta Kuteer,, B-Cabin Road, Ambernath, Thane - 421501, Near Bharat Gas",Verified
"Naresh Enterprises in Dadar West, Mumbai",4.5,1,"R-7, Kawli Chawl, Kashinath Dhuru Marg, Dadar West, Mumbai - 400028, Near Kirti College",Not Verified
"Harsh Cool Service in Kamothe, Mumbai",4.0,200,"Sai Ashish Apartment, Shop No 14 ,Plot No 39, Sector 20, Kamothe, Navi Mumbai - 410206, Aishwariya Hotel",Verified
"S S Cooling System in Prabhadevi, Mumbai",4.7,3,"Shop No 7 Ground Floor God Gift Tower, M S Road, Prabhadevi, Mumbai - 400025",Not Verified
"Pintu Refrigeration in Vasai East, Mumbai",3.4,109,"Shop No-23,Girnar Heights, Vasai Link Road, Vasai East, Palghar - 401208, Near Dmart",Not Verified
"Iconic Cool Services in Nalasopara East, Mumbai",3.8,86,"Shop No.20, Kailash Tower, Yashwant Viva Township, Nalasopara East, Palghar - 401209, Opposite Dmart, Yashwant Viva Township",Not Verified
"Sarvadnya Enterprises in Badlapur Ed, Mumbai",3.8,46,"504, Sadguru Deep Co Operative Housing Society, Badlapur Ed, Thane - 421503, Juveli Gaon, Near D K Sadan",Verified
"Unique Cooling Solution in Nalasopara East, Mumbai",5.0,2,"Shop No.6, Shiv Plaza, Pragati Nagar, Nalasopara East, Palghar - 401209, Near Pragati Nagar Police Chowky",Not Verified
"Famous AIR Condition in Nalasopara East, Mumbai",4.8,2,"N B Sing Chawl Hawai Pada, Santosh Bhavan, Nalasopara East, Palghar - 401209, Near Durga Mandir",Not Verified
"Nalanda Inverter  Air Conditioner in Panvel, Mumbai",4.5,22,"Shop No -8, Arihant Plaza ,Plot No -162, Mcch Society, Panvel, Navi Mumbai - 410206, Near Suruchi Hotel",Verified
"S Cool Service in Mumbai Central, Mumbai",5.0,3,"3/3, Floor Grd - 58 , Bhorini Chawl,, 5th Lane Kamatipura , Nagpada, Mumbai Central, Mumbai - 400008",Not Verified
"Fridge Cool Sevices in Tulsiwadi, Mumbai",4.0,119,"Om Building, B 2 B, Room No 814,M P Mills Compaund, M P Mills Compaund, Tulsiwadi, Mumbai - 400034, Maharshtra Nagar",Verified
"I Cool Services in Virar East, Mumbai",3.8,90,"Shop No 1, Ground Floor, Sai Sagar Swapna Sagar CHSL, Phoolpada Road, Virar East, Palghar - 401305, R J Nagar",Verified
"Ramesh Electronics in Virar West, Mumbai",4.5,13,"Shop No-10,Shree Shashwat Building, Global City, Virar West, Palghar - 401303, Near Agarwal Life Style",Not Verified
"Arihant Hardware in Virar West, Mumbai",4.7,30,"Shop No 100, Building No 13 , Avenue M,, Global City, Virar West, Palghar - 401303, Near Yazoo Park",Not Verified
"Ganesh Electronics in Virar West, Mumbai",4.8,21,"Shop No-31,Shree Shashwat Building, Global City, Virar West, Palghar - 401303, Near Agarwal Life Style",Not Verified
"Wash & Cool in Boisar, Mumbai",4.9,13,"Ganga Bldg, Dalal Tower, Tarapur Road, Apposite Cidco Colony,, Boisar, Palghar - 401501, Behind Boisar Motors & Dr. Dalal Hospital",Not Verified
Localoye.com in Mumbai,3.5,14,Mumbai - 400001,Not Verified
Housejoy.in in Mumbai,3.8,216,Mumbai - 400001,Not Verified
"Reliance Digital Retail Ltd in Manpada-thane West, Mumbai",3.8,2704,"Shop No 4, Orion Business Park, Ghodbunder Road, Manpada-thane West, Thane - 400607, Near Cinemax Cinema & Cine Wonder Mall",Not Verified
"Reliance Digital Retail Ltd (Korum Mall) in Thane West, Mumbai",3.9,2480,"1st Floor, Korum Mall, Thane West, Thane - 400601, Near Cadbury Company, Off Eastern Express Highway",Not Verified
"Shree Jain Traders in Samata Nagar-Thane West, Mumbai",4.0,534,"Shop 1-8, Devdaya Park, Samata Nagar-Thane West, Thane - 400606, Opposite Raymonds Company",Not Verified
"LG Electronics INDIA Pvt Ltd in Thane West, Mumbai",3.9,355,"Lgeil Gall No 6 9, S 2, Golden Park Complex, Lbs Marg, Thane West, Thane - 400601, Near Majiwada Hardas Nagar, Panchpakhadi",Not Verified
"Ezone (Viviana Mall) in Thane West, Mumbai",3.8,215,"Viviana Mall, Unit No Slf 12, Second Floor, Eastern Express Highway, Thane West, Thane - 400601, Next to Jupiter Hospital",Verified
"Viraj Enterprises in Thane West, Mumbai",3.8,118,"G-1 Sai Mahendra Apartment, Majiwada, Thane West, Thane - 400607, Near Kapurbavdi",Not Verified
"Sam Appliances & Electronics in Thane West, Mumbai",4.2,80,"Shop No 1/2, Arihant Apartment, Agiyari Lane, Thane West, Thane - 400601, Near Jambli Naka",Verified
"Coolmate Appliance Services in Wagle Industrial Estate-Thane West, Mumbai",4.4,65,"ASHA USHA APT ROOM NO 01 SHANTI NAGAR, WAGHELE INDUSTRIAL ESTATE, Wagle Industrial Estate-Thane West, Thane - 400604, THANE WEST",Not Verified
"Ozone Airconditioning & Consultancy in Thane West, Mumbai",4.5,63,"2nd Floor, Chandrama Society,, Naupada, Near Rajawat Jewellers,, Thane West, Thane - 400602, Talaopali, Thane (W) 400 602",Verified
"Crystal Aircool in Near KD Hotel , Mumbai",3.9,36,"Niraj City, Thane - 400601, Near KD Hotel",Not Verified
"O K Televisions Pvt Ltd in Thane West, Mumbai",4.0,35,"Shop No 8, Summer Castle, Thane West, Thane - 400601, Castle Mill Naka",Not Verified
"Vijay Sales Service Centre in Thane West, Mumbai",4.2,32,"Nisarg Building Shop No 5,6,7, Thane West, Thane - 400601, R Mall, Manpada",Not Verified
"Omkar Ac Services in Vartak Nagar-Thane West, Mumbai",4.3,26,"D-1/108, Vedant Complex, Vartak Nagar-Thane West, Thane - 400606, Near Vedant Hospital",Not Verified
"Tele Max Enterprises in Naupada-thane West, Mumbai",3.9,25,"Anand Bhavan Society, Veer Savarkar Marg, Naupada-thane West, Thane - 400602, Next to Khawaiya Hotel, Opposite Vishwajeet Society",Not Verified
"Laxmi Electronics in Thane West, Mumbai",4.0,22,"Shop No 2, Ground Floor, Brite Society, Agyari Lane, Thane West, Thane - 400601, Near Tembhi Naka",Not Verified
"Shree Ameet Electronics in Vartak Nagar-thane West, Mumbai",3.5,20,"Shop No 14., Police Line Road, Vartak Nagar-thane West, Thane - 400606, Opposite ITI Building & Sai Baba Mandir",Not Verified
"Martin Electronics in Manpada-Thane West, Mumbai",4.2,19,"Martin Electronics B 501 Vaibhav Vilas, Ghodbunder Road, Manpada-Thane West, Thane - 400607, Waghbill Naka",Not Verified
"Hari Om Air Condition in Thane West, Mumbai",4.9,17,"Wagle Estate, Ram Nagar, No.28, Thane, Road, Thane West, Thane - 400604, Near Tower Company,Behind Masjid",Not Verified
"AIR Care Systems Pvt Ltd in Thane West, Mumbai",4.6,17,"B-608,LODHA SUPREMUS -2,, ROAD NO.22, Thane West, Thane - 400604, WAGLE ESTATE",Verified
"E Mart in Thane West, Mumbai",3.8,17,"Thane West, Thane - 400601",Not Verified
Starlook Air Condenser Service in Mumbai,4.8,15,"No.33, Barrington Company Kisan Koli Chawl, Savarkar Nagar, Thane W, Thane - 400606",Not Verified
"Keep Cool in Naupada-thane West, Mumbai",4.0,15,"Shop No 6, M G Road, Naupada-thane West, Thane - 400602, Opposite Naupada Police Station,Shahu Market",Not Verified
"Unique Engineering & Refrigeration Works in Wagle Industrial Estate-thane West, Mumbai",3.3,14,"70 Anand Vyapari Sankool Wagle Industrial Estate, Road No 33, Wagle Industrial Estate-thane West, Thane - 400604, Near Esis Hospital",Not Verified
"Haadiya Airconditioning Services in Thane West, Mumbai",4.6,13,"Room No 273 Botke Chawl, Bapuji Nagar, Thane West, Thane - 400601, Rabodi No 2, Bapuji Nagar",Not Verified
"Cool Air Service in Thane West, Mumbai",4.9,12,"Shop No4 Shiv Sai Apartment, Panchpakhadi, Thane West, Thane - 400602, Opp Saraswati High School",Not Verified
"Aeon Airconditioning Solutions in Thane West, Mumbai",4.1,12,"Ambedkar Road, Uthalsar, Thane West, Thane - 400601",Not Verified
"Invisn in Thane West, Mumbai",4.1,12,"Shop 32, Ashar Estate, Shree Nagar, Wagle Estate, Thane West, Thane - 400601, Opp Billabong School",Not Verified
"Snehal AC & R Engg Pvt Ltd in Thane West, Mumbai",4.1,11,"Plot No.a-158, Road No.25, MIDC, Wagle Indl Est, Thane West, Thane - 400601, Opp Linkway Honda",Not Verified
"Ultracool Services in Thane West, Mumbai",2.9,10,"Shop No. D2, Sneh Bandhan CHS,, Thane West, Thane - 400606, NR Veer Hospital, Opp Adhar Card Kendra",Not Verified
"Amcwale in Wagle Industrial Estate-Thane West, Mumbai",5.0,7,"0ffice No. 513, Lodha Supremes, Road No 22, Wagle Industrial Estate-Thane West, Thane - 400604, Near New Passport Office",Verified
"Royal Air Conditioner Shop in Thane West, Mumbai",5.0,6,"Office No. 103, 1st Floor, Thackeray Biulding, Rabodi 2nd, Shivaji Nagar, Thane West, Thane - 400601, Fatima High School",Not Verified
"Summer Cool Service in Thane West, Mumbai",4.2,6,"Thane West, Thane - 400608, Near Fatima Church, Maziwada Village",Not Verified
"J K Sales in Thane West, Mumbai",4.2,6,"Shop No 2 Trimurti Apartmentbehind Shop No 1 ,, Dada Patil Marg, Thane West, Thane - 400601, Shivaji Nagar Naupada",Verified
"Evercool Aircon in Thane West, Mumbai",4.2,6,"Shop No B/6, Rajdarshan Co Operative Housing Society, Thane West, Thane - 400601, Opposite Platform No 1, Dada Patil Wadi, Near Waman Hari Pethe",Verified
"Polr in Thane West, Mumbai",3.2,6,"Pratap Tower, Thane West, Thane - 400601, Pratap Cinema, Khopat",Not Verified
"Excellent Cool Services in Thane West, Mumbai",2.8,6,"Shop No. 16 Anmol Fathastic, Thane West, Thane - 400601, Opposite Unicersal High School",Not Verified
"Ocean Airconditioners Service Pvt Ltd in Manpada-Thane West, Mumbai",2.6,6,"Shop No 5, Kothari Compound, Tikuji Ni Wadi Road, Manpada-Thane West, Thane - 400607, 27 Acres",Not Verified
"Perfect Engineering Works in Thane West, Mumbai",5.0,5,"Shop No A1, Raj Laxmi Complex, Opp. Durgesh Park, Kalher, Bhiwandi, Thane West, Thane - 400601",Not Verified
"OGeneral Ac Service Center in Near Maya Kida Wear Cst Road Mumbai, Mumbai",4.2,5,"82/116, Mumbai, Thane - 400604, Near Maya Kida Wear Cst Road Mumbai",Not Verified
"Pacific in Thane West, Mumbai",3.6,5,"Thane West, Thane - 400601",Not Verified
"Cool Service in Thane West, Mumbai",5.0,5,"Shop No 2, Pokran Road, Hanuman Tank Lane, Thane West, Thane - 400610, Near Hanuman Temple, Vasant Vihar",Not Verified
Gencool Solution in Mumbai,5.0,4,"05,Wagheswary Krupa Chawl Nirmal Anand Nagar, Manorama Nagar, Kolshet Road, Thane - 400607",Not Verified
"Ziyan Enterprises in Thane West, Mumbai",4.6,4,"Shop No -13, Shree Rang Shopping Centre, Vrindavan Society, Thane West, Thane - 400601, Behind Shri Rang Bus Stop",Not Verified
"3d Sales & Service in Thane West, Mumbai",4.0,4,"Shop No 1, Mark Co Operative Housing Society, G B Road, Thane West, Thane - 400601, Charai, Near Dagdi School",Verified
